RespondentID,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,"In a row of three seats, who should get to use the two arm rests?","In a row of two seats, who should get to use the middle arm rest?",Who should have control over the window shade?,Is itrude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words tothe stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is itrude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is itrude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to go to the bathroom?,Is itrude to wake a passenger up if you are trying to walk around?,"In general, is itrude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?",Have you ever used personal electronics during take off or landing in violation of a flight attendant's direction?,Have you ever smoked a cigarette in an airplane bathroom when it was against the rules?,Gender,Age,Household Income,Education,Location (Census Region)
3433895905.0,,,177.8,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,2.0,4.0
3433890093.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,3.0,0.0
3433882884.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,2.0,1.0
3433881615.0,,,170.2,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,7.0
3433880747.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,3.0
3433877510.0,,,185.4,0.0,,,,,,,,,1.0,,,,,,,1.0,0.0,0.0,1.0,,4.0,1.0
3433877337.0,,,188.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,2.0,3.0,1.0
3433873724.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,3.0,0.0
3433863512.0,,,198.1,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,,4.0,0.0
3433853098.0,,,177.8,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,2.0,4.0,8.0
3433847365.0,,,185.4,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,3.0,2.0
3433842253.0,,,177.8,0.0,,,,,,,,,1.0,,,,,,,1.0,0.0,0.0,1.0,4.0,4.0,4.0
3433809714.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,4.0,3.0,1.0
3433791959.0,,,188.0,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,0.0,4.0,0.0
3433766902.0,,,172.7,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,3.0,2.0,0.0
3433704267.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,,,,,,,
3433702768.0,,,170.2,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,0.0,3.0,6.0
3433696677.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,3.0,4.0
3433682046.0,,,175.3,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,1.0,0.0
3433675127.0,,,193.0,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,2.0,2.0,8.0
3433674615.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,1.0
3433674116.0,,,177.8,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,1.0
3433673902.0,,,152.4,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,4.0
3433669889.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,2.0,5.0
3433547088.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.0,2.0,3.0
3433546426.0,,,170.2,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,7.0
3433532135.0,,,193.0,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,0.0,3.0,1.0
3433529889.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,2.0,0.0
3433508090.0,,,172.7,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,1.0,2.0,0.0
3433505616.0,,,170.2,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,6.0
3433498776.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,1.0,4.0
3433491130.0,,,167.6,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,8.0
3433481077.0,,,175.3,0.0,,,,,,,,,1.0,,,,,,,1.0,0.0,0.0,1.0,,1.0,6.0
3433469104.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,3.0,8.0
3433455019.0,,,188.0,0.0,,,,,,,,,0.0,,,,,,,1.0,0.0,0.0,1.0,1.0,3.0,1.0
3433451973.0,,,182.9,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,1.0,3.0,2.0,8.0
3433444761.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,,3.0,0.0
3433443270.0,,,172.7,1.0,,,,,,,,,1.0,,,,,,,1.0,0.0,0.0,1.0,,3.0,0.0
3433421347.0,,,188.0,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,4.0,0.0
3433413347.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,3.0,4.0
3433408077.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,2.0,4.0
3433405051.0,,,185.4,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,2.0,2.0,4.0,8.0
3433400808.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,2.0,6.0
3433400150.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,3.0,8.0
3433396155.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,2.0,4.0
3433387742.0,,,177.8,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,3.0,3.0
3433383009.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,1.0,3.0,1.0
3433381681.0,,,175.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,3.0,5.0
3433379314.0,,,195.6,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,2.0,3.0,7.0
3433372314.0,,,180.3,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,3.0,2.0,2.0,7.0
3433370920.0,,,188.0,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,3.0,4.0,1.0
3433368700.0,,,188.0,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,1.0,2.0,4.0
3433368365.0,,,177.8,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,4.0,4.0,4.0
3433366122.0,,,190.5,1.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,3.0
3433365905.0,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,1.0,3.0
3433365410.0,,,172.7,0.0,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,3.0,,4.0,3.0
3433365207.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3433363377.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,4.0,
3433361838.0,,,185.4,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,2.0,4.0,8.0
3433358233.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,4.0,0.0
3433356966.0,,,182.9,0.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,2.0,4.0,4.0,0.0
